10000, 1
Picasso, Femme nue assise (1910).jpeg
178, 132924.875, 371298.5625
179, 130809.7578125, 456420.8125
180, 123112.75, 413892.28125
181, 131428.484375, 413638.21875
182, 115187.2578125, 618014.6875
183, 112320.71875, 492313.875
184, 119348.796875, 436943.8125
185, 117204.3984375, 388808.71875
186, 136471.140625, 424967.65625
187, 117161.6015625, 440312.46875
188, 130465.6796875, 428342.1875
189, 120913.75, 529734.625
190, 115939.3359375, 490653.40625
191, 121874.21875, 352201.3125
192, 126350.3671875, 497424.21875
193, 111414.8359375, 568672.4375
194, 106147.953125, 396577.84375
195, 116005.109375, 403072.65625
196, 123938.3984375, 380317.40625
197, 118567.578125, 387928.53125
198, 104486.65625, 489636.21875
199, 112060.2265625, 358127.0625
200, 116077.3515625, 419731.625
201, 111532.9140625, 530917.5
202, 117235.34375, 390329.15625
203, 119722.59375, 354340.75
204, 114162.8515625, 392956.71875
205, 115508.234375, 381735.8125
206, 120579.5859375, 647203.8125
207, 112542.8359375, 463810.71875
208, 103952.9609375, 525161.1875
209, 103651.171875, 439681.4375
210, 126671.4375, 425116.8125
211, 111634.90625, 356851.0625
212, 104270.7421875, 436550.84375
213, 101034.140625, 370667.125
214, 120907.25, 432450.25
215, 106244.1171875, 467165.5625
216, 112720.8125, 357897.53125
217, 102143.578125, 436924.9375
218, 114255.2890625, 486590.90625
219, 109574.2578125, 451491.75
220, 100501.5390625, 378470.625
221, 89459.71875, 430398.84375
222, 90762.875, 517287.0625
223, 99714.078125, 401812.28125
224, 117309.453125, 440055.09375
225, 112015.84375, 395123.875
226, 106706.6640625, 462790.1875
227, 115947.34375, 384895.21875
228, 106657.25, 331528.53125
229, 113566.7421875, 372465.90625
230, 127194.3671875, 261661.9375
231, 105198.1171875, 396264.96875
232, 86671.2265625, 501892.625
233, 115263.2890625, 360758.4375
234, 110166.2890625, 359610.875
235, 100555.640625, 592872.25
236, 100260.25, 675126.1875
237, 104130.15625, 369640.4375
238, 111285.3515625, 325858.78125
239, 94731.4140625, 340442.125
240, 101883.0390625, 407495.53125
241, 88053.203125, 434363.9375
242, 89582.171875, 333895.875
243, 110898.046875, 489192.28125
244, 115636.7421875, 440084.75
245, 112259.84375, 340952.71875
246, 94162.453125, 417246.25
247, 95556.015625, 419379.625
248, 105025.703125, 535474.125
249, 98748.6875, 344761.375
250, 95177.25, 465745.9375
251, 119776.0078125, 290173.875
252, 100351.765625, 522554.03125
253, 100583.828125, 359823.75
254, 94927.765625, 431988.8125
255, 78878.96875, 526870.5625
256, 103149.5234375, 395118.4375
257, 90124.125, 411973.96875
258, 105706.765625, 432322.96875
259, 100350.0234375, 371725.6875
260, 95003.0625, 508150.1875
261, 87386.6328125, 442020.0
262, 92948.5703125, 360259.59375
263, 85563.0078125, 406989.15625
264, 141218.859375, 297573.65625
265, 95118.984375, 344675.9375
266, 93108.984375, 395616.09375
267, 95684.515625, 338854.21875
268, 82511.2578125, 449631.21875
269, 73369.3671875, 529387.6875
270, 98026.8671875, 485156.0625
271, 82122.4609375, 403736.59375
272, 98724.953125, 426788.46875
273, 87472.6328125, 332338.84375
274, 93599.0546875, 312181.875
275, 97607.8828125, 330935.84375
276, 90977.5390625, 542940.0625
277, 94644.765625, 274101.4375
278, 110363.0859375, 262608.875
279, 94020.4453125, 379495.65625
280, 86380.421875, 392282.875
281, 89032.1640625, 298652.96875
282, 83208.3671875, 460169.40625
283, 72793.0, 353775.84375
284, 85404.6328125, 440161.65625
285, 79887.09375, 461638.15625
286, 86268.9375, 379677.6875
287, 101916.828125, 314473.375
288, 89876.078125, 421412.9375
289, 94994.9140625, 305164.78125
290, 96714.6953125, 659519.5625
291, 92115.8515625, 323571.21875
292, 73828.1328125, 519749.75
293, 70763.6484375, 364295.15625
294, 64637.734375, 431598.5625
295, 79014.3203125, 265932.0
296, 87279.0234375, 396129.09375
297, 89152.1640625, 391490.6875
298, 81915.765625, 337922.65625
299, 74688.3125, 447405.71875
300, 86482.5625, 342940.84375
301, 87371.3359375, 313441.3125
302, 89552.2421875, 347770.5625
303, 171272.1875, 285952.8125
304, 103227.4296875, 249919.078125
305, 106939.0859375, 288142.625
306, 87365.7578125, 379023.15625
307, 90924.03125, 559030.3125
308, 85175.6171875, 348491.875
309, 69198.0390625, 404351.125
310, 79844.234375, 392666.28125
311, 85939.71875, 325158.0625
312, 88413.7421875, 329323.375
313, 77713.3046875, 440205.875
314, 82898.4765625, 384557.96875
315, 86039.0625, 484041.21875
316, 75747.3515625, 473797.125
317, 76741.859375, 403933.34375
318, 90428.71875, 373167.21875
319, 79382.6953125, 449641.21875
320, 98128.2421875, 468602.1875
321, 88700.578125, 336226.59375
322, 85423.6015625, 331584.0625
323, 86124.3984375, 552635.9375
324, 88264.359375, 302147.1875
325, 80913.296875, 474642.625
326, 80632.8828125, 416972.8125
327, 80892.6328125, 351049.65625
328, 115328.4140625, 291774.3125
329, 87442.7109375, 469125.5625
330, 75420.9140625, 438374.625
331, 75015.625, 266526.40625
332, 95278.171875, 349185.40625
333, 88469.703125, 422973.34375
334, 86241.4921875, 407103.53125
335, 90821.6171875, 362152.125
336, 77767.7890625, 434146.40625
337, 67977.984375, 331686.96875
338, 72280.109375, 347223.15625
339, 62943.53125, 420224.46875
340, 73426.1640625, 374313.625
341, 77484.3671875, 410214.75
342, 73842.5078125, 432239.09375
343, 85960.03125, 433994.875
344, 74943.53125, 340641.78125
345, 74761.7578125, 501587.34375
346, 78364.1640625, 246892.640625
347, 84914.40625, 342662.65625
348, 88025.8203125, 382661.8125
349, 82530.4921875, 319105.625
350, 79129.1875, 520621.25
351, 82364.4609375, 270977.96875
352, 85928.3203125, 386189.6875
353, 77195.2734375, 414792.96875
354, 78333.78125, 312903.03125
355, 72876.8203125, 362974.5625
356, 72852.4609375, 376320.84375
357, 73967.15625, 304167.28125
358, 85318.015625, 400453.75
359, 75431.3203125, 324551.9375
360, 76766.953125, 352519.96875
361, 73377.6171875, 607816.8125
362, 58733.90234375, 380448.09375
363, 61899.5, 263890.875
364, 68515.3515625, 377910.625
365, 65351.921875, 391230.71875
366, 78838.875, 291437.625
367, 65835.59375, 389189.34375
368, 74351.25, 336058.03125
369, 74134.109375, 396079.03125
370, 80025.171875, 338640.65625
371, 81506.6484375, 368459.21875
372, 64835.21875, 369794.8125
373, 63179.22265625, 315163.1875
374, 77669.5078125, 641170.6875
375, 92301.953125, 429269.3125
376, 76013.671875, 366149.625
377, 82036.453125, 393603.375
378, 74997.953125, 401339.34375
379, 68659.3984375, 376909.0
380, 70050.9375, 323932.75
381, 60130.1171875, 439192.90625
382, 64098.1484375, 326203.875
383, 84912.8359375, 343408.96875
384, 75882.25, 354790.625
385, 82289.9453125, 359978.46875
386, 72148.8359375, 418755.71875
387, 83622.328125, 405158.71875
388, 65614.6328125, 322080.53125
389, 86386.4375, 391962.0
390, 85468.2890625, 268262.28125
391, 68996.671875, 325355.625
392, 81711.46875, 448101.1875
393, 72617.0390625, 323843.3125
394, 92320.171875, 408151.15625
395, 69051.4296875, 367398.15625
396, 69222.484375, 308731.34375
397, 88865.8984375, 335712.96875
398, 82789.859375, 311995.5625
399, 67908.8203125, 404619.125
400, 61020.79296875, 425132.28125
401, 83946.4375, 416584.25
402, 74750.3984375, 385615.0625
403, 65527.58203125, 450222.53125
404, 120330.765625, 281822.5
405, 75211.7890625, 440059.84375
406, 97120.328125, 413588.28125
407, 76049.4921875, 277875.1875
408, 60102.69921875, 336812.3125
409, 64377.4375, 422079.75
410, 75467.3984375, 334177.875
411, 78102.1875, 395136.59375
412, 64852.18359375, 304073.4375
413, 54055.45703125, 335641.65625
414, 94558.953125, 275567.15625
415, 84666.0078125, 297608.21875
416, 67584.0859375, 306054.9375
417, 70335.125, 301296.375
418, 60954.23046875, 265199.0
419, 58369.69921875, 353451.4375
420, 72236.7109375, 353832.59375
421, 84555.71875, 323027.28125
422, 87740.15625, 356772.5
423, 65822.421875, 344713.75
424, 72762.875, 279900.96875
425, 65247.24609375, 418224.90625
426, 63439.96484375, 257438.28125
427, 73921.7890625, 321870.4375
428, 64708.5703125, 331766.375
429, 66598.46875, 313569.875
430, 74501.2890625, 366596.34375
431, 65238.66015625, 234942.53125
432, 68625.765625, 399855.875
433, 62122.40625, 416390.125
434, 73133.6484375, 367302.8125
435, 70869.34375, 327908.03125
436, 71335.6328125, 425460.5625
437, 76712.828125, 398923.21875
438, 62537.1328125, 271287.1875
439, 75981.5, 343799.6875
440, 74867.78125, 463808.0625
441, 72568.2265625, 386873.96875
442, 62428.9765625, 282018.1875
443, 68141.15625, 347484.34375
444, 65568.0234375, 411487.96875
445, 77473.6484375, 396948.71875
446, 69779.4765625, 279973.375
447, 69406.6640625, 387011.71875
448, 71991.375, 330043.5
449, 67759.3359375, 261515.625
450, 77666.2265625, 279786.71875
451, 67481.15625, 430723.28125
452, 60643.29296875, 305070.875
453, 71765.09375, 447022.1875
454, 60562.77734375, 361203.96875
455, 74620.4921875, 388978.09375
456, 79274.3203125, 402333.53125
457, 98663.9921875, 462666.84375
458, 76457.5078125, 379290.46875
459, 74315.625, 409051.9375
460, 56727.8671875, 323181.6875
461, 168993.515625, 311385.90625
462, 82675.0, 477289.5
463, 88826.5390625, 318958.625
464, 84462.953125, 384599.125
465, 63857.75390625, 357583.03125
466, 72302.2265625, 324605.625
467, 74175.921875, 201844.9375
468, 63429.6328125, 272473.0625
469, 96971.7890625, 231598.953125
470, 112087.4375, 557838.625
471, 73729.6328125, 304560.03125
472, 86433.4296875, 348641.65625
473, 55195.375, 366490.84375
474, 85148.015625, 419053.75
475, 80260.59375, 455155.84375
476, 57154.32421875, 318442.40625
477, 78123.484375, 320565.8125
478, 69873.6484375, 332767.71875
479, 75680.8828125, 506456.75
480, 73536.140625, 283349.96875
481, 89871.2890625, 289081.0
482, 71108.6953125, 310510.875
483, 73920.1796875, 297904.78125
484, 68541.3671875, 414921.15625
485, 57395.0078125, 251194.671875
486, 89406.609375, 271615.875
487, 75628.90625, 287651.875
488, 67725.59375, 254933.921875
489, 125761.5859375, 481826.5
490, 68149.203125, 310138.75
491, 60798.7265625, 463235.65625
492, 70434.0703125, 377663.09375
493, 80219.5078125, 530238.25
494, 68964.859375, 291007.46875
495, 62029.5078125, 338043.96875
496, 83324.578125, 315386.25
497, 61093.2109375, 299179.375
498, 66618.59375, 283759.65625
499, 71076.7890625, 308454.28125
500, 70932.1640625, 209702.484375
501, 61892.67578125, 386986.5
502, 80940.859375, 335119.96875
503, 78446.7578125, 377704.625
504, 61163.015625, 297744.8125
505, 59569.76171875, 332695.21875
506, 82896.2890625, 284393.75
507, 84786.703125, 426530.65625
508, 52694.99609375, 362022.84375
509, 64266.33984375, 387896.84375
510, 71416.359375, 343850.625
511, 65057.90234375, 278500.75
512, 71671.609375, 267201.65625
513, 66560.2734375, 335096.25
514, 60652.83203125, 271670.53125
515, 59164.078125, 350609.59375
516, 104036.4609375, 312458.03125
517, 73252.1484375, 405664.0625
518, 61834.4453125, 304489.09375
519, 61320.26953125, 307266.1875
520, 63970.1484375, 331936.71875
521, 66455.6796875, 516836.84375
522, 68410.1328125, 266724.125
523, 94578.65625, 222889.6875
524, 67226.7265625, 253435.296875
525, 75574.2734375, 408691.3125
526, 69009.453125, 618420.5
527, 51177.08203125, 315489.1875
528, 63375.43359375, 377680.90625
529, 74502.046875, 370791.375
530, 84168.3359375, 295650.09375
531, 60098.36328125, 351774.75
532, 86806.0703125, 365243.0625
533, 59310.72265625, 383083.3125
534, 48230.05078125, 421106.71875
535, 73284.796875, 353706.0625
536, 68694.4453125, 340287.84375
537, 50443.328125, 419467.25
538, 77454.1953125, 342329.15625
539, 69563.328125, 332243.96875
540, 53704.078125, 384167.53125
541, 71046.4609375, 357190.5625
542, 70088.3046875, 315870.125
543, 59483.64453125, 257266.40625
544, 69164.859375, 331162.0
545, 77123.625, 248984.5
546, 61001.87109375, 521050.25
547, 58372.43359375, 320557.53125
548, 76473.25, 307865.5625
549, 84674.1875, 324563.28125
550, 71272.578125, 284406.0
551, 88663.0, 368588.21875
552, 70133.921875, 255989.859375
553, 72987.609375, 594110.5625
554, 53429.26953125, 301204.3125
555, 64227.7734375, 309576.09375
556, 67823.7890625, 346605.34375
557, 66064.0234375, 409522.0625
558, 60054.0625, 310360.0
559, 80371.453125, 338060.21875
560, 58420.32421875, 338273.5625
561, 50486.66015625, 261878.328125
562, 73133.125, 344246.625
563, 80075.796875, 337608.15625
564, 80613.3984375, 350051.40625
565, 74929.7109375, 204747.609375
566, 58725.30078125, 349589.25
567, 73026.9921875, 368321.3125
568, 70293.2734375, 266943.84375
569, 74073.046875, 321638.625
570, 58482.6640625, 335152.8125
571, 63982.234375, 364252.53125
572, 75990.2265625, 471303.0
573, 58829.48828125, 332313.5625
574, 87315.875, 214142.734375
575, 82460.390625, 231919.84375
576, 65640.46875, 258657.953125
577, 77441.109375, 294149.1875
578, 67942.84375, 368204.21875
579, 69171.875, 280159.46875
580, 61316.50390625, 342325.125
581, 66500.96875, 358234.65625
582, 56208.80078125, 240107.4375
583, 69054.140625, 267012.84375
584, 68664.5546875, 279129.03125
585, 79371.4609375, 322382.4375
586, 71287.140625, 336253.4375
587, 68450.8828125, 341796.40625
588, 86622.9609375, 389986.0
589, 73100.390625, 417130.0
590, 65358.640625, 237526.421875
591, 67768.0546875, 247395.609375
592, 55278.72265625, 241466.765625
593, 80595.3671875, 419349.875
594, 79210.21875, 208851.40625
595, 58176.05859375, 264004.375
596, 65150.01171875, 334425.78125
597, 62060.75, 261836.578125
598, 66325.921875, 242307.546875
599, 75156.015625, 331678.875
600, 73457.1875, 478107.65625
601, 62783.09765625, 394106.71875
602, 92504.7734375, 268031.96875
603, 75000.0234375, 252884.859375
604, 80056.8828125, 222220.34375
605, 74132.1015625, 383218.375
606, 86579.8828125, 405026.0
607, 65516.00390625, 353321.875
608, 62962.36328125, 359102.0
609, 67138.8984375, 288113.15625
610, 60798.55078125, 379386.03125
611, 70505.53125, 324215.875
612, 75730.6953125, 421028.75
613, 78089.140625, 278009.09375
614, 55199.25390625, 280752.90625
615, 76841.6796875, 387778.9375
616, 59936.53125, 279045.0
617, 61479.6953125, 276814.96875
618, 64085.76171875, 340965.78125
619, 60438.56640625, 291127.6875
620, 65352.54296875, 380733.65625
621, 75052.4296875, 218327.859375
622, 77848.109375, 312450.40625
623, 68993.2734375, 312014.3125
624, 60022.421875, 379664.625
625, 65317.09765625, 309074.40625
626, 76039.1171875, 293633.21875
627, 81589.703125, 380488.125
628, 89024.3828125, 284751.96875
629, 57630.4453125, 274703.75
630, 70408.0, 290674.40625
631, 68501.7890625, 326385.71875
632, 73417.6328125, 381835.375
633, 70391.03125, 227719.640625
634, 59775.37890625, 386543.3125
635, 65046.01171875, 288915.125
636, 63660.46484375, 340969.1875
637, 58200.15625, 253176.28125
638, 56705.2109375, 238705.09375
639, 61583.390625, 376528.875
640, 80782.171875, 302945.09375
641, 60048.87890625, 348604.5
642, 78857.3125, 221827.21875
643, 74459.0703125, 392149.09375
644, 54871.5625, 398524.9375
645, 68775.078125, 358598.5625
646, 59943.484375, 284061.71875
647, 64187.5078125, 303211.625
648, 73372.4453125, 341413.375
649, 97935.78125, 312626.28125
650, 61095.24609375, 366623.5
651, 73674.0390625, 425875.375
652, 81744.3203125, 227766.46875
653, 50670.05859375, 360465.3125
654, 64374.40234375, 243322.9375
655, 68542.8203125, 270815.21875
656, 68531.5234375, 262783.53125
657, 72130.9765625, 559216.9375
658, 68099.0859375, 327270.15625
659, 48311.05859375, 235455.28125
660, 82572.9765625, 362640.40625
661, 71758.6796875, 316671.90625
662, 70164.09375, 329051.6875
663, 77385.875, 305105.125
664, 82612.8046875, 277428.1875
665, 68359.3828125, 293156.375
666, 63593.4296875, 257068.6875
667, 75895.7109375, 425869.21875
668, 86797.796875, 366255.46875
669, 53081.84375, 282493.78125
670, 69048.65625, 302200.59375
671, 59862.64453125, 356690.21875
672, 56135.84375, 319666.125
673, 68387.3203125, 247613.4375
674, 56291.84375, 230881.125
675, 73487.7421875, 449039.0625
676, 59894.109375, 214704.890625
677, 65132.0859375, 276725.5
678, 79548.71875, 374762.0
679, 63702.30859375, 268706.21875
680, 77751.4140625, 235427.09375
681, 56289.33984375, 472988.1875
682, 68316.7734375, 303968.75
683, 58859.55859375, 309293.75
684, 73517.171875, 237512.296875
685, 54878.5, 374119.53125
686, 65042.8828125, 389278.6875
687, 62228.76953125, 315699.09375
688, 66902.3203125, 556024.375
689, 50185.0078125, 240820.640625
690, 67150.4140625, 322167.71875
691, 62916.1015625, 215632.390625
692, 65909.7421875, 263354.03125
693, 87853.0703125, 373287.8125
694, 88511.3671875, 312570.46875
695, 73679.703125, 281962.6875
696, 59255.43359375, 452159.9375
697, 77473.578125, 320919.03125
698, 62802.2734375, 337246.9375
699, 67822.8359375, 194592.765625
700, 60227.91796875, 285077.6875
701, 62021.05078125, 261472.46875
702, 60150.20703125, 311796.03125
703, 67120.9609375, 390546.3125
704, 87600.6796875, 267489.25
705, 61815.0859375, 312751.6875
706, 59327.77734375, 348190.0625
707, 55580.140625, 288503.84375
708, 60430.70703125, 298121.0
709, 69828.3984375, 331331.3125
710, 70331.8671875, 345701.03125
711, 67543.234375, 268344.34375
712, 72545.1640625, 229256.53125
713, 79115.1171875, 201917.078125
714, 76785.59375, 207189.9375
715, 66835.8515625, 224861.28125
716, 75519.7578125, 236749.125
717, 75983.859375, 245220.953125
718, 67156.8671875, 288805.34375
719, 61044.83984375, 308225.8125
720, 77656.9140625, 329143.65625
721, 77017.1640625, 260707.09375
722, 71072.4140625, 285208.9375
723, 58637.09765625, 293582.625
724, 77067.0546875, 363212.25
725, 66580.7109375, 276163.28125
726, 65847.6015625, 270120.34375
727, 86847.9765625, 586002.25
728, 68580.15625, 254485.421875
729, 57061.4765625, 243791.65625
730, 65525.6171875, 278401.03125
731, 75664.453125, 334844.875
732, 70719.0078125, 236233.328125
733, 65046.234375, 344504.59375
734, 78987.921875, 282535.15625
735, 76515.1640625, 346535.0625
736, 64801.70703125, 250263.0
737, 79620.3046875, 479288.6875
738, 65594.125, 341344.84375
739, 50980.2421875, 325002.90625
740, 53691.984375, 283293.1875
741, 76307.625, 327018.03125
742, 59611.80859375, 196576.375
743, 75770.0234375, 245614.25
744, 75776.375, 358075.4375
745, 76474.7109375, 214153.859375
746, 68360.3359375, 382029.90625
747, 83812.765625, 297458.90625
748, 63026.12109375, 299880.875
749, 98477.65625, 248597.5
750, 61849.50390625, 323468.625
751, 73359.1796875, 394619.15625
752, 73425.7890625, 221043.515625
753, 65809.0625, 307693.0625
754, 63932.91796875, 284111.25
755, 98026.875, 325527.03125
756, 67581.1875, 312724.4375
757, 70996.140625, 395461.90625
758, 92515.046875, 427948.1875
759, 70073.09375, 336228.46875
760, 57376.0, 234412.90625
761, 68313.3359375, 266500.78125
762, 74348.8515625, 256599.921875
763, 66767.4921875, 411018.5625
764, 60376.1953125, 344370.59375
765, 79494.8046875, 267757.40625
766, 65337.11328125, 381379.28125
767, 82543.671875, 362382.875
768, 74384.8828125, 247743.9375
769, 82472.46875, 347247.875
770, 68129.2734375, 228990.9375
771, 91152.1875, 221528.765625
772, 77515.5546875, 335153.96875
773, 65114.1015625, 398643.90625
774, 63137.53125, 251142.828125
775, 67897.265625, 267952.5
776, 68855.2265625, 271348.8125
777, 60300.03125, 262014.609375
778, 70582.6875, 365372.40625
779, 66781.3828125, 231420.15625
780, 83414.0078125, 346855.125
781, 95503.6015625, 371669.21875
782, 66479.6328125, 213981.34375
783, 81941.3984375, 397940.9375
784, 60232.5, 309911.625
785, 60453.3515625, 418326.34375
786, 94625.953125, 246061.15625
787, 61709.53515625, 271177.5
788, 61488.26171875, 282722.46875
789, 70555.2421875, 308057.46875
790, 60273.05859375, 226033.421875
791, 63789.9765625, 287475.53125
792, 71078.0234375, 255504.328125
793, 55571.94140625, 223824.59375
794, 72818.65625, 348203.21875
795, 58495.66015625, 243804.90625
796, 76832.859375, 285043.0625
797, 68235.5625, 397799.875
798, 64034.9375, 302952.8125
799, 65658.7890625, 272482.5625
800, 78731.3984375, 207551.34375
801, 72889.4765625, 366591.25
802, 90091.6875, 323291.625
803, 61627.96875, 240212.75
804, 64630.23828125, 271588.1875
805, 69571.0234375, 327727.9375
806, 56028.8359375, 321239.125
807, 88095.3515625, 217388.203125
808, 61836.48828125, 282780.90625
809, 51154.42578125, 276684.9375
810, 78489.3046875, 354631.71875
811, 62095.75390625, 346199.59375
812, 63850.40234375, 215140.109375
813, 66430.0859375, 317107.78125
814, 75577.4375, 209932.046875
815, 83527.7734375, 320748.625
816, 75447.375, 244748.78125
817, 74598.15625, 227881.140625
818, 69709.0703125, 262356.5625
819, 65097.390625, 336843.8125
820, 69180.3203125, 283556.78125
821, 70041.8359375, 292149.59375
822, 61572.40625, 249689.0
823, 69451.5546875, 237436.390625
