10000, 1
Roy Lichtenstein, Bicentennial Print (1975).jpg
173, 6586709.5, 1329559.875
174, 6438147.0, 1410425.375
175, 6556598.0, 1313507.125
176, 6534542.0, 1347432.125
177, 6391115.5, 1569089.375
178, 6341051.0, 1473820.125
179, 6488765.0, 1363108.875
180, 6304442.0, 1347788.625
181, 6270428.0, 1393524.625
182, 6097514.0, 1530820.25
183, 6272129.0, 1347313.375
184, 6128356.5, 1345588.25
185, 6408989.0, 1370430.375
186, 6130599.5, 1342378.375
187, 6053168.5, 1384009.375
188, 6109302.5, 1305447.75
189, 6032151.5, 1524118.0
190, 5876716.0, 1451361.625
191, 5957898.5, 1426890.25
192, 5874599.5, 1461888.125
193, 5990751.0, 1464502.0
194, 5714991.0, 1422553.875
195, 5821751.0, 1523286.875
196, 5694772.0, 1414039.75
197, 5669851.0, 1472220.75
198, 5652627.5, 1524344.875
199, 5617435.0, 1558949.375
200, 5780790.0, 1345991.875
201, 5518829.5, 1576843.5
202, 5551385.5, 1561665.375
203, 5564267.0, 1412712.125
204, 5394157.5, 1377566.875
205, 5498692.0, 1345909.875
206, 5464911.0, 1486101.0
207, 5416388.5, 1502606.625
208, 5281775.5, 1474691.0
209, 5451530.5, 1375640.875
210, 5473659.5, 1343415.875
211, 5298442.5, 1433740.0
212, 5314063.5, 1444497.25
213, 5119425.5, 1432152.375
214, 5207055.0, 1432869.375
215, 5171631.0, 1651607.0
216, 5150414.5, 1456786.375
217, 5066905.5, 1515558.625
218, 5020462.0, 1493142.125
219, 5114009.5, 1376266.875
220, 5121148.0, 1418561.875
221, 5075109.5, 1383312.0
222, 4928392.0, 1456678.625
223, 4891720.5, 1482169.5
224, 4906290.0, 1486960.125
225, 4863574.0, 1459640.25
226, 4802537.0, 1496085.625
227, 4786922.0, 1521566.625
228, 4660302.0, 1471816.5
229, 4715200.5, 1699230.75
230, 4746523.0, 1555409.125
231, 4743056.0, 1538099.5
232, 4703294.0, 1446882.0
233, 4688445.0, 1469818.0
234, 4526489.5, 1485745.0
235, 4484625.0, 1622641.75
236, 4655482.0, 1486104.75
237, 4462757.0, 1477560.875
238, 4571457.0, 1423201.625
239, 4521981.0, 1571750.375
240, 4462333.5, 1467985.0
241, 4421193.5, 1577752.875
242, 4495842.5, 1341644.0
243, 4406424.5, 1569429.0
244, 4377565.0, 1541143.75
245, 4457139.0, 1439610.25
246, 4410337.5, 1469128.25
247, 4316644.0, 1423708.75
248, 4287201.0, 1609691.75
249, 4283885.5, 1543278.5
250, 4282071.5, 1558689.875
251, 4236717.0, 1602232.75
252, 4181288.0, 1501074.75
253, 4379981.5, 1418789.25
254, 4223877.5, 1471674.75
255, 4120121.25, 1633382.75
256, 4177116.5, 1456584.5
257, 4163653.25, 1444106.125
258, 4056824.0, 1565069.25
259, 4139552.75, 1564791.125
260, 4026711.0, 1596975.0
261, 4082078.5, 1558443.125
262, 4000740.5, 1645122.5
263, 4086120.75, 1604205.75
264, 3923665.25, 1509244.625
265, 3995278.0, 1563813.0
266, 3902788.5, 1604895.0
267, 3972758.75, 1597896.0
268, 3923750.5, 1525058.125
269, 3998084.25, 1552877.75
270, 3886695.5, 1636307.375
271, 3838355.75, 1454525.25
272, 3852799.5, 1494720.5
273, 3816658.75, 1524579.0
274, 3772329.0, 1737229.0
275, 3848580.0, 1564710.75
276, 3764590.25, 1521188.5
277, 3696706.5, 1537503.125
278, 3703919.0, 1457390.0
279, 3695112.75, 1562484.125
280, 3682996.0, 1638066.5
281, 3691747.75, 1590718.75
282, 3695695.75, 1650527.0
283, 3671945.5, 1529702.625
284, 3579704.0, 1632137.625
285, 3592968.5, 1533936.25
286, 3572136.25, 1424775.375
287, 3508843.0, 1578276.625
288, 3528449.75, 1532795.125
289, 3502868.75, 1549357.75
290, 3601285.0, 1527003.0
291, 3580512.25, 1488076.875
292, 3635675.0, 1508829.25
293, 3508879.25, 1516032.25
294, 3508827.0, 1525572.375
295, 3573953.75, 1629565.375
296, 3489532.0, 1516360.125
297, 3508420.25, 1571435.0
298, 3455125.75, 1488891.0
299, 3432840.0, 1576772.75
300, 3384194.25, 1647934.375
301, 3478822.75, 1575928.25
302, 3391070.0, 1506636.0
303, 3386126.5, 1690398.0
304, 3437148.0, 1567830.25
305, 3350764.5, 1649682.375
306, 3465369.75, 1497701.875
307, 3343479.25, 1610297.75
308, 3298536.5, 1624973.625
309, 3280174.0, 1477905.625
310, 3239613.75, 1563459.625
311, 3258361.75, 1487305.375
312, 3235063.0, 1499082.0
313, 3231376.0, 1421544.0
314, 3195305.0, 1566361.625
315, 3142531.25, 1638527.625
316, 3248538.0, 1473890.875
317, 3227587.25, 1626082.0
318, 3261518.75, 1537026.25
319, 3176967.25, 1787916.125
320, 3225783.5, 1675888.625
321, 3187934.75, 1548214.125
322, 3243258.75, 1559165.5
323, 3138228.25, 1567989.875
324, 3125500.25, 1586027.75
325, 3122108.0, 1599967.0
326, 3101899.75, 1608885.0
327, 3237002.5, 1557611.5
328, 3178130.5, 1638910.625
329, 3146199.25, 1490142.875
330, 3079255.5, 1612184.0
331, 3152860.75, 1605773.0
332, 3017724.75, 1520601.0
333, 3070488.25, 1530750.625
334, 3074811.25, 1512191.0
335, 3007162.0, 1807219.375
336, 2980796.75, 1557349.5
337, 3061454.25, 1593361.125
338, 2971097.25, 1594801.0
339, 2919879.0, 1571598.375
340, 3076521.75, 1552465.125
341, 3044135.0, 1438271.0
342, 3087342.25, 1368375.5
343, 2963267.5, 1525248.5
344, 2927437.5, 1519968.75
345, 2949015.5, 1641497.25
346, 2974073.0, 1558557.5
347, 2953336.25, 1650940.75
348, 3025964.25, 1472150.5
349, 2921031.5, 1477592.125
350, 2864639.5, 1598628.0
351, 2970777.75, 1590409.5
352, 2954968.25, 1488709.25
353, 2883900.25, 1580571.0
354, 2826067.75, 1443710.75
355, 2868763.5, 1569780.375
356, 2782372.75, 1647134.625
357, 2818006.0, 1630793.375
358, 3021836.75, 1522614.125
359, 2905689.75, 1567705.875
360, 2818546.25, 1674719.375
361, 2831094.0, 1572344.25
362, 2778156.5, 1652677.875
363, 2741039.75, 1746332.5
