10000, 1
Egon Schiele, Eith wiith Striped Dress, Sitting (1915).jpg
180, 610400.5, 761822.3125
181, 631146.75, 620792.5625
182, 634214.1875, 721334.6875
183, 623771.25, 679209.0625
184, 602422.1875, 647540.5625
185, 617405.4375, 638135.25
186, 634410.1875, 656933.625
187, 614821.25, 696772.1875
188, 607320.3125, 631822.375
189, 579241.375, 693558.4375
190, 564769.0, 781381.0625
191, 570234.25, 600073.25
192, 596801.25, 595811.1875
193, 573187.0, 590268.4375
194, 620889.6875, 550057.625
195, 611206.9375, 573030.0625
196, 568420.5625, 717782.6875
197, 551925.8125, 638774.625
198, 555218.75, 816922.3125
199, 552875.125, 672872.125
200, 549387.5625, 673337.3125
201, 520349.09375, 728095.75
202, 551163.9375, 632856.875
203, 546605.5, 819845.1875
204, 541428.125, 934892.875
205, 536121.6875, 670362.3125
206, 545688.8125, 630964.5
207, 530389.8125, 656239.4375
208, 559014.625, 973508.375
209, 518301.59375, 620004.0
210, 537408.4375, 737352.9375
211, 500278.40625, 819392.3125
212, 512068.25, 737543.5625
213, 530951.6875, 627487.25
214, 521844.96875, 914236.0625
215, 512290.5625, 673561.25
216, 522108.0, 635576.3125
217, 530449.75, 514298.90625
218, 539148.375, 560719.625
219, 498801.125, 680681.875
220, 491637.46875, 521054.03125
221, 514704.46875, 726445.8125
222, 494019.03125, 613150.25
223, 502429.71875, 721589.9375
224, 492815.53125, 639557.8125
225, 516994.9375, 906574.8125
226, 494245.6875, 588975.9375
227, 470087.59375, 806489.75
228, 488512.5625, 672096.375
229, 522109.8125, 640976.4375
230, 480786.9375, 619193.625
231, 485975.0, 747264.25
232, 484598.25, 721075.75
233, 492838.40625, 696824.625
234, 508291.4375, 726775.75
235, 478969.96875, 821401.1875
236, 489707.96875, 636982.5625
237, 481807.34375, 727780.3125
238, 466152.8125, 651942.4375
239, 462983.78125, 654700.3125
240, 467161.65625, 589653.5625
241, 480831.375, 661779.3125
242, 446444.5625, 666077.25
243, 428810.1875, 600674.625
244, 426805.90625, 648067.375
245, 484955.8125, 649005.125
246, 447573.8125, 667175.5625
247, 459375.5625, 717183.5625
248, 453847.28125, 773907.375
249, 432622.6875, 556040.3125
250, 435846.78125, 759793.8125
251, 461100.5, 773463.375
252, 422861.78125, 661474.3125
253, 443854.4375, 703788.5
254, 440952.78125, 691901.1875
255, 435475.5, 765266.625
256, 430986.6875, 603231.9375
257, 410030.84375, 678834.375
258, 429486.90625, 639692.1875
259, 427775.0, 578343.5
260, 449184.1875, 643824.0
261, 434037.9375, 592190.8125
262, 422635.6875, 564699.1875
263, 418484.40625, 757540.4375
264, 419179.53125, 778797.6875
265, 435968.65625, 645953.4375
266, 385831.34375, 840210.8125
267, 409421.40625, 598728.6875
268, 428320.78125, 774005.0625
269, 434606.375, 619513.25
270, 413272.5, 666549.375
271, 436329.34375, 599071.625
272, 387033.46875, 667849.0625
273, 447445.1875, 692400.25
274, 441177.09375, 608061.375
275, 398272.21875, 612042.9375
276, 391478.25, 645005.3125
277, 401234.3125, 876201.0625
278, 388234.71875, 691153.4375
279, 403272.15625, 815745.9375
280, 411899.3125, 771530.25
281, 398468.5, 701614.75
282, 402015.40625, 664007.3125
283, 389997.71875, 567758.0625
284, 391199.4375, 658357.4375
285, 382861.9375, 616962.3125
286, 376760.40625, 613076.1875
287, 376422.71875, 682881.4375
288, 370204.75, 768138.125
289, 387719.375, 522253.03125
290, 369674.78125, 573178.4375
291, 351849.65625, 680229.125
292, 384834.03125, 598103.875
293, 392298.78125, 649294.25
294, 376112.4375, 608403.5625
295, 356503.5625, 711369.875
296, 379175.71875, 710178.125
297, 399694.03125, 692463.4375
298, 356275.625, 808819.5625
299, 362139.46875, 770492.5625
300, 363730.6875, 695202.8125
301, 348964.125, 540208.0
302, 337774.21875, 701903.25
303, 354347.28125, 706991.5
304, 357556.96875, 697671.8125
305, 354942.9375, 694497.1875
306, 349706.8125, 645864.9375
307, 359072.28125, 792970.625
308, 327560.59375, 741586.75
309, 350736.09375, 706773.5
310, 342421.78125, 742320.3125
311, 331549.28125, 690802.125
312, 342952.78125, 646694.375
313, 343999.5, 672321.25
314, 368076.84375, 711740.875
315, 329479.1875, 622693.75
316, 347611.84375, 800217.625
